Company Name,Year,Location,Sector,Website,Description
0-mission,2022,Denmark,Energy and ClimateTech,https://the0mission.dk,Enables SMEs to add renewables to the grid
913.ai,2023,Germany,B2B Software,https://www.913.ai,One Platform to Build Test and Integrate Custom AI Agents to Handle all your Workflows and Knowledge
ABIVO,2025,Canada,FinTech,https://abivo.ai,AI collections staff that can call text and email clients ensuring timely follow-ups and reducing overdue invoices
ACSIRYO K.K.,2025,Japan,Health and BioTech,https://acsiryo.com/,Automating chronic disease monitoring through satellite health stations and cloud-based specialist support
ARCA,2024,,Energy and ClimateTech,https://arca.eco,Revolutionizing recycling through advanced waste sorting solutions
ARDOR,2024,Singapore,B2B Software,https://ardor.cloud,The Platform Where Agents Build Agents to Revolutionize Software
ARKI,2023,Canada,Real Estate and PropTech,https://www.getarki.com/,AI search for construction to leverage internal data for automating future work
AURELIA INSIGHTS,2025,Malaysia,B2B Software,https://www.aurelia.asia/,Future proof food safety compliance
Abel Studios,2024,Netherlands,ConsumerTech,,Engaging and original audio entertainment for kids
Abode,2023,,Real Estate and PropTech,https://www.withabode.com/,AI powered platform transforming housing affordability and providing investors access to unique single-family rentals
Abode Labs,2024,US,Real Estate and PropTech,https://abodelabs.ai/,AI-first automation for Real Estate starting with Title
Abstraction,2024,US,B2B Software,https://www.abstractionlabs.ai,AI teammates for sales CX and product teams to automate complex workflows 10x faster and deploy in minutes
Acanthis,2022,Australia,B2B Software,https://acanthis.io,Integrated SaaS web application that provides SMBs with insights and advice in an understandable way
Access Carbon,2024,,FinTech,https://www.access-carbon.com/,Accelerating efficient pricing of emissions through unlocking individual and institutional investment access to global carbon markets
Acrux Education,2023,Australia,ConsumerTech,https://teacherea.com,Revolutionizes Maths education with AI-powered assessment marking enhancing student performance
Ad Auris,2021,,ConsumerTech,https://www.ad-auris.com,
Adamata,2024,Indonesia,Energy and ClimateTech,,Waste Mining: AI-Powered Robot Sorter for Indonesian Mixed Waste
Adrenaline Interactive,2024,US,B2B Software,https://adrenalineinteractive.ai/,Programmatic product placement in video games
AdvancePay (Zilla),2022,,B2B Software,https://www.advancepay.io/,Database showing content creator and brand relationships for transparent influencer marketing
AdviseWell,2024,Australia,B2B Software,https://www.advisewell.co/,Streamlines and automates complex financial strategy creation for Financial Advisers
Aesty,2024,United Arab Emirates,ConsumerTech,https://aesty.ai,AI-powered closet companion for wardrobe organization and shopping recommendations
Aevy,2024,,Energy and ClimateTech,https://aevy.io/,Scalable renewable asset management
Agenta.ai,,,,https://agenta.ai,The open-source platform for bringing LLM apps to production
Agentio,2023,US,B2B Software,https://agentio.com/,Programmatic ad network for professional content creators
Agri Sparta,2023,Indonesia,Industrials,http://www.agrisparta.com,Industrializing rice farming
Agrigate,2023,Indonesia,Industrials,https://www.agrigate.id/,Building resilient agricultural supply chains for businesses worldwide
Agrovisia,2024,Brazil,Industrials,https://www.agrovisia.com.br/,Real-time soil fertility mapping
AiCare,2021,Kenya,B2B Software,http://aicare.co.ke,IoT and AI for accurate motor insurance risk assessment
Aiba,2022,,B2B Software,https://aiba.ai,Detection of fake profiles online grooming and toxicity
Aiden,2024,Germany,Real Estate and PropTech,https://getaiden.com,AI-Assistant for Residential Property Management
Aimars,2023,Germany,B2B Software,https://www.aimars.io/,The AI Driven Sales Optimization Platform
Airalo,2019,Singapore,ConsumerTech,https://www.airalo.com/,World's first eSIM store for 190+ countries worldwide at affordable prices
Airballoon,2023,Korea,ConsumerTech,https://airballoon.app,Business authentication and brokerage platform for online business
Aircity,2022,,Real Estate and PropTech,https://www.aircity.network/,Property Management Made Simplified
Airmo,2023,Germany,Energy and ClimateTech,https://airmo.io,New approach to locate quantify and track methane emissions
Aival,2020,UK,Health and BioTech,https://www.aival.io/,Software to evaluate and monitor AI solutions in healthcare
Akar,2022,Indonesia,Industrials,https://www.akar.cloud,Manufacturing and distribution of modular indoor farming in urban cities
Alcolase,2023,Denmark,Health and BioTech,https://alcolase.com/,Developing dietary supplement for alcohol intolerance
Alea Health,2024,United Arab Emirates,Health and BioTech,https://aleahealth.co/,AI-assisted virtual mental health clinic
Allihoop,2020,Sweden,Real Estate and PropTech,https://www.allihoop.se/,Technology enabled co-living brand for urban professionals
Allspring,2022,,B2B Software,https://www.tryallspring.com,
Alpha Impact,2021,,FinTech,https://alphaimpact.fi/,Platform for cryptocurrency trading following industry veterans
AlphaNova,2024,United Arab Emirates,FinTech,https://www.alphanova.tech,Asset Management platform crowdsourcing trading signals
AlphaShine,2022,Canada,ConsumerTech,https://www.alphashine.io/,Digital subscription for car detailing
Alphaguard,2024,France,FinTech,https://alphaguard.ai/,AI agents for preventing fraud in public procurement
Alphaloops,2023,UK,FinTech,https://www.alphaloops.ai/,Automating investment management operations using AI
Alt Fashion,2024,India,ConsumerTech,https://www.myalt.shop/,Meta search engine for fashion
Alterno,2023,,Energy and ClimateTech,https://www.alterno.group,Silica-based zero emission commercial heat solution
